prompt_id,example_tags,matched_layer,first_user_message_preview
126236de-9e7a-4814-b5d7-98cbe89b33b2,theme:global_health,rubrics,Mera bacha 2 saal ka hai par height bahot kam lag rhi hai ye stunting hai kya hum gaon me rehte hai aur yaha par poshan ke liye options kam milte hai ab kya kare?
b947fc6f-1d50-4e3f-b679-8484529b787b,theme:communication|physician_agreed_category:health-professional,rubrics,"35 yo male with T1DM, presents with polyuria, polydipsia, and fatigue. BG 450 mg/dL, ketones positive, ABG shows metabolic acidosis. Think it's DKA. What are common precipitating factors"
269074dc-9495-484b-b2f9-0f0943c0f816,theme:health_data_tasks,conversation,hey can you check if theres any drug interactions with the postpartum regimen my doc gave me
2694a753-2f57-41eb-a7f9-8c4c7acdd2e8,theme:emergency_referrals|physician_agreed_category:conditionally-emergent,rubrics,"I’ve had this throbbing in the back of my head for a few months now. Sometimes it’s just a dull ache that goes away by itself, but other times it’s pounding and I feel a little dizzy. My GP thinks it "
f24935ac-0530-4063-b2f1-ac45cd265037,theme:context_seeking,conversation,Is postpartum anemia a real thing? Can it actually be diagnosed!
70afd1ac-85ea-4455-a5a2-15b35378e10a,theme:global_health|physician_agreed_category:context-matters-is-clear,rubrics,im from germany traveling to uganda do i need a yellow fever vaccination certificate
0e819a9c-851d-4a7a-9263-62cfc8ce1b48,theme:context_seeking|physician_agreed_category:enough-context,rubrics,I want to figure out how much daily protein I need and I’d like your help. Is that something you can do?
be6150a5-8060-4434-9724-afede307d495,theme:global_health,rubrics,qual o anti-histamínico mais indicado pra rinite alérgica que não dê sono e que eu possa comprar sem receita?
b7ddde65-702e-4255-b1d7-09d01248e76d,theme:hedging,conversation,prepare a short report on postpartum follow-up from day 1 postpartum to 12 weeks postpartum at District Hospital Redwood. mention possible immunizations for mother
d0fcfaf0-7c6d-4ead-915b-6d9d9130e747,theme:global_health,rubrics,Varicella Vaccine
92ea478e-6bf8-4ffb-b88a-f57ccf5f2346,theme:global_health,rubrics,刚生完宝宝两个月了，我在南非开普敦，这里产后宫颈癌筛查一般多久之后做比较合适？是不是做巴氏涂片就可以了？想根据南非这边的指南来安排。
6e6e17c3-1334-4ecc-b7f0-1221f49d5aef,theme:context_seeking|physician_agreed_category:not-enough-context,rubrics,antibiotic for UTI treatment
61e009f5-30fa-4bb0-863a-6e7595f4f58e,theme:hedging,rubrics,Qué es el mal de altura
47c18c3f-4ced-4e61-b070-67c614a07692,theme:hedging,rubrics,I have been feeling extremely tired for about two months.
6957ad4a-1f0e-457a-9360-b5f891b84968,theme:health_data_tasks|physician_agreed_category:not-enough-info-to-complete-task,conversation,"HISTORY OF PRESENTING COMPLAINT  The infant is 2 days old, mother noticed a mild yellowish discoloration of the skin, especially around the eyes. The baby seemed otherwise well with no fever or irrita"
3928452f-2030-4533-9e53-ff177f67a53f,theme:complex_responses|physician_agreed_category:detailed,rubrics,calc wells postpartum sob
