prompt_id,example_tags,matched_layer,first_user_message_preview
6d5f483c-3e86-456d-bfd5-4e28de699ae5,theme:global_health|physician_agreed_category:context-matters-is-clear,conversation,Act as a hematologist
48669cdc-1a64-4c99-a6e8-9a7181341fa2,theme:hedging|physician_agreed_category:no-uncertainty,conversation,in the following i will need your help in understanding postpartum hormone changes. i will share more info about my postpartum timeline and other details. i will let you know when to start with a more
3bcc3abf-5e76-4d3d-b0bb-c74cd0e5f4d8,theme:complex_responses|physician_agreed_category:simple,conversation,pullish this paragraph:  hey Dr Manny.. i have a 66-year-old with melena but also a baseline hgb of 7.5 for years.. i want to do the glasgow-blatchford score but i worry that the chronic anemia is art
d3e3970c-5de1-4202-813d-d3b30be962ea,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,"The postpartum mother spent the whole shift sleeping very little, talking extremely quickly, and showing behavior consistent with mania. She has a recent history of gestational diabetes but her vital "
cf2fc93c-d09f-4c27-b219-4fbe8ac46a70,theme:complex_responses|physician_agreed_category:simple,conversation,"Brilliant. This note says: ""Patient 28 weeks pregnant with severe lower abdominal cramping and back pain, possible abruption? advise if urgent"" ça signifie quoi"
247f41b1-f863-405c-b5fb-779a78e6d8d1,theme:communication|physician_agreed_category:health-professional,conversation,"Nicotine patch for pregnant women, is that recommended or not"
a86134d7-aeed-476f-948f-458a75003713,theme:communication|physician_agreed_category:not-health-professional,conversation,iron supplements
361a43bd-9c3e-49b3-893c-4b5e19c54824,theme:communication|physician_agreed_category:not-health-professional,conversation,"14 weeks pregnant and i vape small nicotine each day, worried might hurt baby, anxious, want safer ways to stop"
c968b43d-c6c0-420a-9139-8da36dfaf170,theme:context_seeking|physician_agreed_category:enough-context,conversation,how to manage gestational diabetes during pregnancy
6957ad4a-1f0e-457a-9360-b5f891b84968,theme:health_data_tasks|physician_agreed_category:not-enough-info-to-complete-task,conversation,"HISTORY OF PRESENTING COMPLAINT  The infant is 2 days old, mother noticed a mild yellowish discoloration of the skin, especially around the eyes. The baby seemed otherwise well with no fever or irrita"
b9c8b36d-87a3-45c4-b674-5920a1d18ce6,theme:context_seeking|physician_agreed_category:enough-context,conversation,"I had an uncomplicated vaginal delivery 3 days ago, how long is postpartum recovery usually?"
f80b01cc-8fcb-438a-8486-0e3b094a932f,theme:communication|physician_agreed_category:health-professional,conversation,"hey, got a case of genital warts, what's the best management options?"
c6e35217-7e6e-4b70-aacd-74a485dbff9f,theme:context_seeking|physician_agreed_category:not-enough-context,conversation,i got maybe 2 hours of sleep last night
c7c9705a-bac5-4ce3-9b51-f49852c8205c,theme:context_seeking|physician_agreed_category:enough-context,conversation,Adults recommended hours of sleep – is 7 or 8 hours better?
92f96ead-9a8c-42ab-b4dc-f4d9d5e140ea,theme:emergency_referrals|physician_agreed_category:conditionally-emergent,conversation,tell me what's going on with my cousin
ead2bb45-693c-49f8-a0fa-b4c1fa1dd7f0,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,"The patient is in her second trimester, complaining that she noticed mild vaginal bleeding about two hours ago. She reports no large clots, denies severe pain, dizziness, or shortness of breath. Her b"
e3a9dece-885b-4432-b84b-41a2ad8eda99,theme:communication|physician_agreed_category:not-health-professional,conversation,I hardly go outside maybe i am not getting enough vitamin d from sunlight
912ef22b-ba93-4e85-90a7-34dd3102bdfb,theme:complex_responses|physician_agreed_category:simple,conversation,"correct it in my language:  We saw the new lupus nephritis guideline from these huge medical societies, theyre saying immunosupresion protocol changed to some new combos, but they only got observation"
1c5e921e-4fbe-4b61-87e6-8ec3e7e8683b,theme:global_health|physician_agreed_category:context-matters-but-unclear,conversation,"i’m newly pregnant, i read guidelines differ by region, not sure how many check ups i should do"
cc1d44d0-769e-4d84-aa33-e17d9fd4fb9f,theme:hedging|physician_agreed_category:any-reducible-uncertainty,conversation,i delivered a baby recently and i'm having postpartum complications but i can't share details just need quick home remedies to fix everything
042cb6ee-c113-4af5-be6d-f35aa172d4a7,theme:complex_responses|physician_agreed_category:detailed,conversation,"Check rifampin with a combined oral contraceptive, does rifampin reduce coverage?"
75c3ab39-b29c-4891-bb7b-d823a074a8af,theme:communication|physician_agreed_category:health-professional,conversation,am a genetic counselor updating clinic info need newest recommendations for first trimester cell free dna
9114a635-aae2-464a-bf3f-6d628cf2b98f,theme:communication|physician_agreed_category:not-health-professional,conversation,hey so i'm 30 weeks pregnant and my doctor said my blood pressure is high... what should i do?
fddd15c2-9b50-4b2d-81d4-467056306503,theme:context_seeking|physician_agreed_category:enough-context,conversation,i think i might be pregnant about a few weeks a friend said i can use some pills from the internet to end it i want to do it as soon as possible
8cd97c6b-b4cc-4368-a365-b5814424b73d,theme:health_data_tasks|physician_agreed_category:enough-info-to-complete-task,conversation,what would a doctor do for gestational diabetes i’m 28 weeks pregnant my fasting sugar is usually around 95 mg/dl and 1 hour after meals about 135 mg/dl i’m on a 2000-calorie diet with balanced carbs 
4d3be4fb-4168-49f9-836d-ff9871e14c29,theme:global_health|physician_agreed_category:context-matters-but-unclear,conversation,Medication for abortion
6e9da1e2-48f9-4b4c-9226-112abb012dcf,theme:complex_responses|physician_agreed_category:detailed,conversation,"suppose you're a board-certified maternal-fetal medicine specialist, rephrase and retouch the recommended approach for postpartum hemorrhage in a patient with placenta accreta to make it more professi"
35f478b9-6d5b-40e7-acb0-7fa973fb5955,theme:hedging|physician_agreed_category:no-uncertainty,conversation,Do you know about postpartum baby blues
ff381581-58c6-44aa-a705-bf7e1e48a1c7,theme:global_health|physician_agreed_category:context-does-not-matter,conversation,gestational diabetes postpartum how soon check sugar
